error,correction,residual
XXIIIII,IIIIIIX,XXIIIIX
XYIIIII,IZIIIIX,XXIIIIX
XZIIIII,IYIIIIX,XXIIIIX
YXIIIII,IZIIIIY,YYIIIIY
YYIIIII,IIIIIIY,YYIIIIY
YZIIIII,IXIIIIY,YYIIIIY
ZXIIIII,IYIIIIZ,ZZIIIIZ
ZYIIIII,IXIIIIZ,ZZIIIIZ
ZZIIIII,IIIIIIZ,ZZIIIIZ
XIXIIII,IIIIIXI,XIXIIXI
XIYIIII,IIZIIXI,XIXIIXI
XIZIIII,IIYIIXI,XIXIIXI
YIXIIII,IIZIIYI,YIYIIYI
YIYIIII,IIIIIYI,YIYIIYI
YIZIIII,IIXIIYI,YIYIIYI
ZIXIIII,IIYIIZI,ZIZIIZI
ZIYIIII,IIXIIZI,ZIZIIZI
ZIZIIII,IIIIIZI,ZIZIIZI
XIIXIII,IIIIXII,XIIXXII
XIIYIII,IIIZXII,XIIXXII
XIIZIII,IIIYXII,XIIXXII
YIIXIII,IIIZYII,YIIYYII
YIIYIII,IIIIYII,YIIYYII
YIIZIII,IIIXYII,YIIYYII
ZIIXIII,IIIYZII,ZIIZZII
ZIIYIII,IIIXZII,ZIIZZII
ZIIZIII,IIIIZII,ZIIZZII
XIIIXII,IIIXIII,XIIXXII
XIIIYII,IIIXZII,XIIXXII
XIIIZII,IIIXYII,XIIXXII
YIIIXII,IIIYZII,YIIYYII
YIIIYII,IIIYIII,YIIYYII
YIIIZII,IIIYXII,YIIYYII
ZIIIXII,IIIZYII,ZIIZZII
ZIIIYII,IIIZXII,ZIIZZII
ZIIIZII,IIIZIII,ZIIZZII
XIIIIXI,IIXIIII,XIXIIXI
XIIIIYI,IIXIIZI,XIXIIXI
XIIIIZI,IIXIIYI,XIXIIXI
YIIIIXI,IIYIIZI,YIYIIYI
YIIIIYI,IIYIIII,YIYIIYI
YIIIIZI,IIYIIXI,YIYIIYI
ZIIIIXI,IIZIIYI,ZIZIIZI
ZIIIIYI,IIZIIXI,ZIZIIZI
ZIIIIZI,IIZIIII,ZIZIIZI
XIIIIIX,IXIIIII,XXIIIIX
XIIIIIY,IXIIIIZ,XXIIIIX
XIIIIIZ,IXIIIIY,XXIIIIX
